segment_id,measure_id,plan_type,age_band,gender,members_eligible,members_compliant,rate_pct
SEG00008,AWC,MAPD,65-74,F,1,0,0.0
SEG00016,CBP,DSNP,18-44,F,1,0,0.0
SEG00020,CBP,DSNP,65-74,F,1,0,0.0
SEG00021,CBP,DSNP,65-74,M,1,0,0.0
SEG00026,CBP,HMO,45-64,M,1,0,0.0
SEG00030,CBP,MAPD,45-64,F,1,0,0.0
SEG00031,CBP,MAPD,45-64,M,1,0,0.0
SEG00033,CBP,MAPD,75+,F,1,0,0.0
SEG00034,CBP,MAPD,75+,M,1,0,0.0
SEG00039,CBP,PPO,65-74,M,1,0,0.0
SEG00042,CDC-H,DSNP,18-44,M,1,0,0.0
SEG00045,CDC-H,DSNP,65-74,F,1,0,0.0
SEG00049,CDC-H,HMO,65-74,M,1,0,0.0
SEG00058,COA,DSNP,75+,M,1,0,0.0
SEG00059,COA,HMO,65-74,F,1,0,0.0
SEG00111,MRP,MAPD,65-74,M,1,0,0.0
SEG00126,SPC,DSNP,65-74,F,1,0,0.0
SEG00127,SPC,HMO,18-44,M,1,0,0.0
SEG00129,SPC,HMO,65-74,F,1,0,0.0
SEG00130,SPC,HMO,65-74,M,1,0,0.0
SEG00131,SPC,MAPD,18-44,F,1,0,0.0
SEG00132,SPC,MAPD,45-64,M,1,0,0.0
SEG00134,SPC,PPO,18-44,F,1,0,0.0
SEG00135,SPC,PPO,18-44,M,1,0,0.0
SEG00137,SPC,PPO,45-64,M,1,0,0.0
SEG00138,SPC,PPO,65-74,F,1,0,0.0
SEG00146,TRC,DSNP,75+,M,1,0,0.0
SEG00159,TRC,MAPD,65-74,M,1,0,0.0
SEG00013,AWC,PPO,65-74,M,1,1,100.0
SEG00018,CBP,DSNP,45-64,F,1,1,100.0
SEG00032,CBP,MAPD,65-74,F,1,1,100.0
SEG00048,CDC-H,HMO,45-64,F,1,1,100.0
SEG00051,CDC-H,MAPD,45-64,M,1,1,100.0
SEG00052,CDC-H,MAPD,65-74,F,1,1,100.0
SEG00062,COA,HMO,75+,M,1,1,100.0
SEG00105,MRP,DSNP,75+,M,1,1,100.0
SEG00110,MRP,MAPD,65-74,F,1,1,100.0
SEG00115,MRP,PPO,65-74,M,1,1,100.0
SEG00128,SPC,HMO,45-64,M,1,1,100.0
SEG00133,SPC,MAPD,65-74,F,1,1,100.0
SEG00037,CBP,PPO,45-64,F,2,0,0.0
SEG00050,CDC-H,MAPD,18-44,F,2,0,0.0
SEG00081,COL,MAPD,65-74,M,2,0,0.0
SEG00122,OMW,PPO,65-74,F,2,0,0.0
SEG00143,TRC,DSNP,65-74,F,2,0,0.0
SEG00150,TRC,HMO,45-64,M,2,0,0.0
SEG00161,TRC,MAPD,75+,M,2,0,0.0
SEG00007,AWC,HMO,75+,M,2,1,50.0
SEG00009,AWC,MAPD,65-74,M,2,1,50.0
SEG00022,CBP,DSNP,75+,F,2,1,50.0
SEG00025,CBP,HMO,45-64,F,2,1,50.0
SEG00036,CBP,PPO,18-44,M,2,1,50.0
SEG00038,CBP,PPO,45-64,M,2,1,50.0
SEG00040,CBP,PPO,75+,M,2,1,50.0
SEG00047,CDC-H,HMO,18-44,M,2,1,50.0
SEG00060,COA,HMO,65-74,M,2,1,50.0
SEG00061,COA,HMO,75+,F,2,1,50.0
SEG00063,COA,MAPD,65-74,M,2,1,50.0
SEG00065,COA,MAPD,75+,M,2,1,50.0
SEG00067,COA,PPO,65-74,M,2,1,50.0
