measure_id,measure_name,measurement_year,is_scored_star_measure,plan_rate_pct,benchmark_2star_pct,benchmark_3star_pct,benchmark_4star_pct,benchmark_5star_pct,current_star_rating,members_eligible,members_compliant,gap_count,at_risk,trending,prior_year_rate_pct
AWC,Annual Wellness Visit,2026,false,56.82,,,,,,44,25,19,false,Down,56.09
FUH,Follow-Up After Hospitalization for Mental Illness,2026,false,44.68,,,,,,94,42,52,false,Stable,47.07
CBP,Controlling Blood Pressure,2026,true,47.06,67.0,75.0,80.0,86.0,1,51,24,27,true,Down,51.29
CDC-H,Comprehensive Diabetes Care - HbA1c Control,2026,true,48.15,54.0,77.0,87.0,91.0,1,27,13,14,true,Up,47.35
COL,Colorectal Cancer Screening,2026,true,40.3,48.0,60.0,70.0,78.0,1,67,27,40,true,Up,39.16
SPC,Statin Therapy for Patients with Cardiovascular Disease,2026,true,31.58,81.0,85.0,88.0,91.0,1,19,6,13,true,Down,26.91
COA,Care for Older Adults - Medication Review,2026,true,42.86,58.0,85.0,93.0,,1,42,18,24,true,Down,39.85
OMW,Osteoporosis Management in Women,2026,true,40.74,32.0,41.0,53.0,68.0,2,27,11,16,true,Up,38.31
TRC,Transitions of Care,2026,true,45.04,44.0,56.0,69.0,79.0,2,131,59,72,true,Down,42.48
MRP,Medication Reconciliation Post-Discharge,2026,true,58.0,40.0,60.0,74.0,87.0,2,50,29,21,true,Down,59.99
